rainfall_mm_hr,slope_degrees,soil_moisture_proxy_pct,historical_landslide_frequency,ground_movement_proxy_pct,risk_score
147.093,23.934,79.42,2.902,57.7,39.214
95.032,42.635,65.21,4.461,78.1,43.544
67.042,7.429,69.24,1.516,32.8,32.882
106.943,47.114,66.44,5.351,83.3,45.623
186.723,10.276,8.06,2.288,19.6,27.601
184.036,13.77,25.37,2.72,29.7,30.751
106.319,31.49,0.92,3.495,44.0,32.922
196.621,9.495,4.94,3.464,20.7,28.292
45.269,52.335,76.59,5.095,85.7,45.591
151.724,5.696,91.83,3.033,41.5,36.534
74.514,22.395,36.12,3.301,44.0,34.509
63.426,4.94,88.45,1.433,35.6,34.339
33.175,3.916,39.65,2.394,22.2,22.325
145.668,17.272,77.57,3.262,50.6,37.855
156.833,52.069,19.09,5.519,69.5,41.724
196.093,37.32,5.52,5.091,55.9,36.41
165.113,21.259,52.52,4.252,50.0,37.034
43.113,26.474,35.42,3.279,48.2,32.315
161.76,55.456,91.35,5.328,90.7,96.978
1.98,20.243,35.76,2.733,40.1,12.262
33.968,15.603,97.34,2.867,53.7,32.186
190.627,7.685,34.74,3.213,27.0,30.896
3.804,5.096,57.54,1.472,26.6,10.689
160.859,29.047,55.45,3.561,57.8,38.428
83.531,34.403,9.8,3.912,50.9,34.996
12.715,21.13,9.51,2.783,33.3,14.353
166.88,37.332,72.07,4.224,73.7,92.261
186.823,9.504,86.02,2.497,42.6,36.215
43.166,26.457,52.63,3.501,53.9,34.456
61.632,47.109,60.16,4.521,79.4,44.076
16.305,8.05,41.78,1.624,25.5,15.289
6.797,13.349,75.29,2.629,44.0,17.043
161.713,9.377,81.67,1.99,39.9,35.185
118.983,39.623,56.71,4.001,71.0,41.444
49.996,55.789,85.97,4.968,88.2,49.363
60.281,46.73,94.8,4.391,89.4,47.665
143.428,23.1,7.43,3.461,36.5,31.68
166.93,26.284,6.86,4.061,41.4,32.966
126.45,19.21,80.4,3.652,54.6,39.012
38.113,24.951,48.33,3.418,50.8,31.329
150.68,18.698,19.61,3.665,35.8,32.222
165.051,24.126,52.31,4.527,53.8,37.951
38.561,37.889,2.85,2.99,50.4,29.046
56.564,58.108,27.24,5.624,72.2,44.112
111.792,19.093,51.33,3.314,44.9,35.439
85.428,2.635,53.18,1.448,22.5,29.947
169.708,51.715,91.55,5.498,91.2,96.558
141.553,20.195,56.42,3.072,47.0,36.002
30.577,15.232,94.81,2.392,51.3,29.841
46.042,57.601,79.47,4.97,86.3,47.326
39.48,52.937,38.08,3.872,71.1,37.684
86.225,44.837,10.96,4.809,65.1,38.44
155.637,20.44,68.31,3.764,52.6,38.08
63.161,55.674,86.95,4.688,87.8,49.158
145.915,32.258,65.35,4.918,67.7,91.506
72.283,50.563,49.61,5.099,77.6,44.303
86.434,4.113,87.67,2.664,37.5,35.334
76.917,42.834,23.5,5.017,67.2,39.575
10.08,8.424,43.29,1.439,25.9,12.611
79.304,37.101,39.01,4.122,63.2,39.044
25.067,44.814,54.73,3.658,75.4,31.092
122.139,35.774,79.37,3.666,72.7,92.179
84.614,27.212,43.7,3.03,50.9,36.168
184.462,38.384,50.24,4.782,69.7,41.254
10.927,17.857,42.2,1.507,36.3,15.096
85.166,2.242,85.45,1.882,32.8,33.854
134.151,10.247,70.6,1.95,37.4,34.125
198.406,18.076,39.29,3.675,41.1,34.254
54.289,14.692,83.83,1.813,46.0,36.458
178.881,49.241,50.14,6.012,80.1,45.0
67.806,37.537,51.47,3.728,66.5,40.108
33.621,27.474,77.56,4.126,64.1,33.876
110.995,2.262,41.27,2.758,21.8,29.902
25.935,27.439,52.73,3.451,54.9,27.059
35.478,30.543,9.89,3.915,46.7,27.735
196.422,30.811,99.21,4.572,75.4,93.438
56.647,4.936,12.95,2.059,14.5,26.679
116.4,59.012,35.48,5.499,74.4,45.097
179.587,18.873,3.76,3.79,31.6,30.647
80.157,54.709,91.15,4.966,89.8,49.685
12.783,8.706,50.94,1.637,29.0,14.911
102.518,48.629,19.03,5.571,69.6,40.983
80.582,41.267,37.2,5.019,69.6,40.725
174.238,29.419,48.41,3.454,55.8,37.629
179.252,51.75,62.78,5.224,81.9,94.37
191.304,35.772,91.01,4.967,79.5,93.847
123.273,35.421,57.15,3.977,66.4,40.505
11.811,27.876,32.91,2.731,47.7,18.022
129.465,48.668,68.37,5.037,83.1,94.189
161.848,34.093,14.63,3.786,51.7,35.327
60.132,33.136,30.18,4.517,57.2,37.572
187.188,19.264,99.06,4.164,61.5,41.605
8.689,14.327,56.17,1.464,36.4,14.795
141.94,49.906,86.06,5.506,89.6,95.915
71.733,59.42,5.24,4.371,62.5,40.701
50.771,26.445,81.69,3.062,61.5,40.204
191.784,21.186,44.52,4.623,48.5,36.52
41.735,38.729,5.82,4.521,56.1,32.541
26.723,10.907,63.14,1.631,35.1,22.885
104.684,32.735,10.4,3.928,49.3,34.697
168.6,0.146,2.41,2.894,8.1,25.283
6.225,17.08,37.83,2.057,35.5,12.936
133.635,39.689,21.56,4.667,62.2,38.28
43.819,46.426,79.86,5.238,87.1,44.106
105.361,30.468,35.15,3.815,53.9,36.783
133.062,2.745,58.09,1.643,24.6,30.713
173.503,14.093,59.15,2.409,39.4,34.22
47.934,23.79,3.61,3.818,37.1,30.878
192.326,57.631,47.4,5.67,78.4,46.268
51.506,4.458,67.87,2.254,30.9,32.812
46.225,48.301,34.05,4.439,71.3,39.731
116.282,25.678,79.81,4.172,62.9,40.966
60.427,29.757,26.3,3.606,50.0,35.431
10.885,15.542,33.36,2.832,34.4,14.941
187.286,35.497,33.6,4.089,59.7,38.048
24.62,13.663,15.59,2.372,25.8,18.125
138.972,5.587,31.9,1.694,20.0,28.536
69.804,4.59,92.75,1.281,36.1,34.575
148.931,24.098,48.37,4.601,52.8,37.588
17.239,2.608,46.79,1.07,19.6,14.433
100.998,32.187,39.14,4.068,57.7,37.877
105.337,45.17,67.67,5.378,83.7,45.341
180.703,59.9,5.18,6.516,67.8,43.017
162.827,42.988,94.64,4.416,87.2,94.792
191.958,48.999,5.28,4.737,63.4,38.695
169.582,27.011,98.27,4.366,70.4,43.502
144.848,16.604,10.38,2.245,27.2,29.262
156.123,14.621,91.32,2.134,49.0,37.597
132.169,21.857,83.89,3.62,58.5,39.97
11.011,49.076,34.35,3.945,70.2,23.938
138.282,18.771,59.23,3.281,46.8,36.201
25.123,6.477,96.14,2.469,42.2,25.66
13.926,25.209,82.14,3.471,61.3,24.519
163.712,50.777,29.51,5.924,73.7,42.992
192.79,37.064,59.31,4.628,70.5,41.791
128.003,13.334,41.62,1.927,32.1,31.621
196.637,24.27,4.88,3.187,36.4,31.385
6.283,46.884,49.86,3.812,74.5,22.925
148.431,23.891,11.31,2.622,36.5,31.423
138.492,43.868,45.46,4.419,73.4,41.611
122.112,26.855,84.72,4.123,65.6,41.725
133.168,9.827,65.33,3.516,39.3,35.064
134.934,30.572,25.76,3.887,51.4,35.848
149.563,5.671,32.89,3.427,24.7,30.452
117.577,44.359,23.57,4.715,68.1,39.621
149.711,23.009,12.58,4.685,41.1,33.488
128.657,25.585,83.61,4.421,64.6,41.62
29.584,30.672,14.87,3.123,46.3,24.902
51.409,22.917,88.03,3.462,60.5,40.505
52.047,53.108,72.07,4.79,83.6,47.038
114.844,29.872,58.78,4.618,62.4,40.074
12.191,54.7,3.47,4.709,62.8,23.137
36.622,7.549,72.19,2.373,36.0,28.232
140.737,54.64,8.92,6.296,68.4,41.996
57.655,45.383,69.74,3.999,80.9,44.196
160.473,21.068,64.25,2.904,49.9,36.89
93.621,1.933,80.28,2.96,33.6,34.326
102.783,5.698,86.97,2.182,37.9,35.123
8.549,28.535,52.9,2.343,53.4,18.536
90.601,28.594,36.44,2.959,50.1,35.613
167.14,33.404,85.36,4.452,73.9,92.768
58.108,54.509,17.26,4.324,66.0,40.849
125.505,7.88,21.51,2.477,21.4,28.726
55.059,4.273,64.73,0.961,26.6,31.09
193.564,56.217,68.7,6.577,87.1,96.323
2.337,56.313,38.24,4.015,71.5,22.28
91.37,17.124,46.19,3.333,41.2,34.442
175.09,42.962,86.51,5.517,87.5,94.941
93.12,28.994,94.66,4.247,71.2,43.437
162.341,21.934,16.36,2.84,36.4,31.755
189.254,0.458,93.88,2.686,35.4,35.202
118.268,17.321,83.66,2.682,51.0,37.938
9.42,28.764,98.25,2.658,68.1,24.285
113.961,53.065,44.65,5.928,78.2,45.185
71.685,16.652,37.19,3.114,37.4,33.118
103.79,0.482,59.99,2.088,23.8,30.863
136.859,49.779,31.74,4.533,70.9,41.574
183.746,26.148,9.53,4.397,42.9,33.575
12.848,8.944,94.53,1.008,40.8,19.141
4.359,46.598,47.95,4.222,74.9,22.225
65.992,1.388,70.96,2.105,28.1,32.295
142.558,53.311,48.79,5.928,79.5,45.697
95.272,34.061,11.75,3.686,50.6,34.899
58.67,10.668,79.38,1.536,39.5,34.761
163.09,58.6,60.65,5.381,81.6,95.323
22.341,40.224,12.49,4.639,60.0,25.206
22.862,36.971,1.11,3.028,49.0,21.776
46.949,22.686,67.15,3.211,53.4,36.554
126.196,53.977,86.3,5.879,90.6,96.771
115.215,41.196,11.97,4.988,61.8,37.901
63.075,8.884,98.59,2.961,46.9,37.934
12.24,26.631,65.09,2.659,55.8,21.39
42.069,33.724,31.2,3.659,56.0,33.444
176.5,26.789,2.07,3.478,39.1,31.954
126.245,38.967,28.75,3.593,60.9,37.798
71.939,39.231,9.86,3.285,54.8,35.463
71.178,4.895,4.19,2.043,11.8,25.69
151.253,13.557,70.08,3.219,44.1,36.135
77.907,1.948,48.44,2.631,23.3,30.488
38.473,52.567,98.66,4.208,90.1,44.167
57.869,25.926,92.96,3.228,64.8,41.496
60.375,3.345,82.66,1.044,31.1,32.936
112.465,13.309,49.8,2.155,35.1,32.75
123.701,42.969,70.75,4.545,80.3,93.201
79.096,21.766,23.42,2.678,37.9,32.326
182.465,12.761,29.78,3.292,31.3,31.595
191.434,21.709,22.34,2.867,38.0,32.389
40.568,54.349,29.6,4.722,70.7,38.43
178.595,46.644,75.92,5.322,86.1,94.609
103.441,29.141,72.4,3.106,61.9,39.845
63.248,40.982,7.19,4.773,59.6,37.105
120.823,45.316,33.97,4.844,72.3,41.117
164.817,41.464,98.47,3.962,85.5,94.54
131.661,52.46,69.28,4.558,82.2,94.491
73.353,57.449,5.02,5.509,65.3,41.399
163.625,9.72,82.64,2.883,42.8,36.291
93.581,57.398,23.83,4.945,69.5,42.875
37.334,42.12,67.84,3.668,76.3,37.324
186.716,33.659,52.97,4.917,65.6,40.611
57.601,7.565,64.17,1.7,31.9,32.545
158.158,42.429,64.79,4.827,78.6,92.891
3.866,11.374,83.58,2.092,42.9,15.659
119.888,9.525,25.09,1.906,22.9,28.908
155.165,33.762,42.78,5.045,63.0,39.646
156.101,42.806,39.87,4.691,71.3,41.033
69.483,8.506,56.63,3.191,34.4,33.469
0.187,30.429,65.11,2.691,60.1,16.993
187.471,16.881,13.87,3.034,30.5,30.523
110.777,50.251,25.66,5.279,70.9,41.783
167.951,33.333,27.72,3.692,54.6,36.495
154.201,31.207,92.51,4.706,74.2,93.115
183.99,56.203,43.53,5.304,76.3,45.138
192.419,47.7,64.57,5.661,83.5,94.191
143.657,25.003,72.44,3.919,59.3,39.74
167.881,42.798,33.27,4.706,69.3,40.321
192.961,24.595,46.05,4.94,53.5,37.796
164.237,1.393,48.15,2.927,23.3,30.634
122.514,31.34,72.74,3.28,64.8,90.815
94.702,59.11,7.48,6.303,68.0,42.869
11.516,18.622,64.53,2.077,45.2,18.575
187.84,7.765,36.5,3.637,28.7,31.545
30.896,2.493,93.59,1.34,34.2,25.842
45.483,31.14,60.96,2.68,59.6,36.618
4.093,22.449,53.03,1.605,44.9,14.434
64.459,24.412,60.84,2.879,52.6,37.256
76.479,29.213,74.87,3.283,63.1,40.316
121.687,33.987,43.47,4.12,61.1,38.819
4.592,19.84,7.44,2.347,30.1,9.806
158.24,38.842,67.31,5.094,76.1,92.719
146.754,31.462,20.92,3.571,50.2,35.194
199.484,36.018,38.51,5.317,64.9,39.973
122.124,25.696,91.31,2.971,63.4,40.997
187.959,35.249,80.76,3.799,72.9,92.287
97.649,54.894,28.71,4.318,69.4,42.191
194.721,43.435,46.67,6.057,77.4,43.334
146.496,51.014,28.65,5.841,73.2,42.866
158.281,23.362,58.04,2.935,50.7,36.765
170.966,14.558,50.36,3.401,39.8,34.383
12.065,40.816,41.43,4.568,69.2,23.93
124.175,46.899,71.68,5.542,85.4,94.494
69.959,39.719,85.6,3.606,78.8,44.237
180.161,45.519,11.52,5.159,66.4,39.019
83.696,10.113,80.04,2.39,41.2,35.587
184.09,44.681,23.45,5.194,69.7,40.175
99.874,16.259,79.6,2.933,49.3,37.507
75.279,50.391,78.78,4.102,83.9,46.444
12.707,15.696,14.79,1.76,26.3,12.63
74.683,2.561,77.82,1.306,29.5,32.494
196.306,47.883,88.12,4.563,87.8,95.146
156.363,57.973,87.4,4.965,88.6,96.831
7.936,42.229,34.48,3.33,65.6,20.396
10.625,20.444,27.43,2.706,37.7,15.168
6.675,37.28,59.19,2.995,66.7,21.08
179.075,38.164,63.62,5.605,75.5,92.697
102.761,38.758,13.33,4.624,58.6,37.117
124.178,13.829,26.84,3.122,31.2,31.341
133.137,59.688,18.42,5.608,69.5,43.488
156.419,34.482,4.14,3.484,48.3,33.95
182.122,58.68,8.04,6.556,68.8,43.093
91.994,9.97,74.66,1.886,38.2,34.442
107.13,12.624,39.28,1.856,30.5,31.128
45.577,22.483,49.55,3.628,48.9,34.398
143.505,43.266,21.57,4.366,65.5,38.79
67.116,7.33,6.97,1.906,15.0,26.412
164.85,19.108,43.55,3.76,43.7,35.047
97.872,30.251,69.78,2.872,61.7,39.57
111.321,1.793,72.07,2.944,31.0,33.375
25.295,3.506,27.51,1.606,16.2,16.616
89.522,8.945,64.88,1.698,33.6,32.938
194.96,44.298,69.94,4.576,81.6,93.359
131.49,26.364,93.79,3.888,67.1,42.368
12.018,26.126,45.06,2.984,50.0,19.309
130.925,38.95,42.43,4.517,67.3,40.252
57.589,49.951,64.1,4.803,81.2,45.451
60.128,4.014,58.7,2.426,28.1,31.879
95.158,0.843,22.04,2.458,13.7,27.152
143.87,3.57,92.28,2.748,38.5,35.803
22.679,42.929,30.8,3.334,65.3,26.643
163.184,26.168,15.43,3.146,41.6,32.938
176.618,20.156,66.89,4.042,52.6,38.145
122.86,37.667,32.07,4.647,63.1,38.952
46.934,8.263,61.83,2.627,34.3,32.055
24.482,8.0,47.55,1.455,26.8,19.336
149.871,26.951,96.1,3.224,66.8,42.072
90.84,2.979,42.39,1.548,19.9,28.942
153.866,52.32,28.06,4.83,70.5,42.058
161.487,21.117,64.6,3.258,51.0,37.305
88.836,26.85,80.66,4.296,64.8,41.456
136.011,39.648,88.43,4.326,81.4,93.811
2.116,0.458,40.13,1.363,16.0,6.856
39.606,21.039,84.68,3.081,56.5,34.74
65.109,48.426,99.09,5.072,92.4,49.228
25.715,23.251,88.22,3.005,59.8,29.446
8.66,39.525,30.7,4.193,63.6,20.569
164.251,58.829,69.61,5.972,85.8,96.371
116.35,57.811,4.56,4.515,62.7,40.406
88.099,46.952,53.28,4.192,76.5,42.944
107.112,40.755,11.73,4.228,59.4,36.99
22.038,42.631,12.79,3.768,60.6,24.759
104.819,41.002,16.71,5.093,63.3,38.486
152.278,54.391,25.86,4.743,69.6,42.201
88.614,8.886,12.69,1.67,17.9,27.154
178.44,37.005,63.43,3.929,70.0,91.415
147.088,42.408,20.63,4.94,65.7,39.082
87.483,51.919,25.75,4.134,68.1,40.994
6.896,11.456,90.64,1.395,43.4,17.069
80.14,0.878,86.44,2.006,31.9,33.778
120.355,3.634,4.65,1.599,9.4,24.993
110.638,22.372,92.94,2.78,59.7,40.217
140.014,5.937,10.81,2.41,15.9,27.035
189.053,43.36,16.3,5.394,66.6,39.292
107.908,21.688,14.58,3.884,38.2,32.579
58.546,46.868,40.17,4.905,74.3,42.217
158.535,11.721,17.31,2.954,25.6,29.637
49.144,50.234,75.49,4.204,83.2,45.774
38.738,10.67,70.88,1.753,37.5,29.095
72.847,53.52,98.25,4.32,90.3,49.528
154.656,19.075,58.99,3.53,47.7,36.501
102.509,38.078,44.84,3.511,64.5,39.279
67.798,36.884,80.94,4.658,76.9,44.16
107.237,42.288,42.66,4.362,70.7,40.882
133.715,27.847,30.4,3.674,49.2,35.514
145.128,56.0,52.5,4.88,78.0,45.641
95.171,19.034,46.53,2.982,42.6,34.556
124.648,43.798,83.3,4.692,85.4,94.297
40.291,11.111,21.97,1.989,23.9,24.742
34.528,11.118,63.85,2.475,37.7,27.316
96.709,14.836,26.42,1.86,29.1,30.224
6.265,35.569,58.48,2.604,63.6,20.026
133.363,8.225,69.21,1.784,34.4,33.338
77.455,36.541,58.86,3.134,66.1,40.081
101.487,33.65,79.34,4.793,73.2,43.382
58.673,59.139,71.4,5.137,84.3,48.704
188.118,31.651,42.82,3.607,57.0,37.683
63.189,22.217,64.9,3.445,52.8,37.783
115.831,29.03,52.15,3.397,56.4,37.892
132.532,9.714,9.11,3.295,21.8,28.626
177.296,20.219,14.14,4.306,37.5,32.629
161.593,33.452,24.27,3.925,54.3,36.383
181.475,11.203,3.79,2.575,20.0,27.64
54.024,6.24,71.7,2.845,35.6,34.251
28.065,35.049,21.38,2.823,52.4,25.644
157.07,6.658,97.16,1.748,40.9,36.016
16.145,43.3,63.14,4.763,79.0,28.884
199.629,31.352,18.39,5.155,53.2,36.524
86.274,50.808,79.76,4.128,84.2,46.674
32.917,10.688,75.97,2.57,41.1,27.94
128.814,49.553,70.35,4.079,81.3,93.828
68.556,11.6,96.3,2.801,48.8,38.14
115.682,29.29,37.6,3.441,52.4,36.397
170.962,11.546,73.37,3.791,44.3,36.626
3.63,59.283,14.59,4.176,64.8,21.094
106.582,1.032,3.77,1.753,6.7,24.459
172.6,21.683,53.8,4.584,51.7,37.614
177.7,36.316,82.14,4.707,76.8,93.135
151.499,30.979,54.99,3.327,59.2,38.579
130.6,9.216,58.47,3.138,35.6,33.78
112.213,9.577,49.61,2.451,31.7,32.179
151.347,48.323,60.25,5.733,82.4,94.027
128.233,46.278,81.98,5.824,89.2,95.309
101.146,48.899,89.49,4.123,87.2,47.302
156.649,36.394,79.28,4.266,74.9,92.657
121.718,8.951,8.8,1.635,16.7,26.705
74.07,56.923,94.46,4.607,89.9,50.186
130.274,45.43,85.27,4.587,87.0,94.604
58.926,30.517,53.63,3.919,59.8,38.934
112.276,23.257,41.92,2.658,45.1,34.682
145.776,23.971,34.11,3.145,44.7,34.489
169.664,11.747,4.29,2.459,20.5,27.7
106.209,11.603,44.92,2.686,33.1,32.37
40.12,40.829,68.4,3.093,73.6,37.723
0.14,5.103,12.37,2.506,15.6,5.176
9.12,25.432,46.77,2.365,48.2,17.424
40.673,9.069,50.51,2.079,30.4,27.675
190.056,36.223,77.57,4.469,74.7,92.645
5.352,42.917,52.08,3.102,71.1,21.118
48.898,47.964,49.25,4.737,76.6,42.81
6.676,8.432,89.97,0.894,38.6,15.688
87.541,2.278,23.23,1.856,14.1,26.991
75.809,26.876,21.22,2.654,42.9,33.23
55.426,34.677,93.92,2.933,74.0,43.303
184.625,4.422,59.43,2.785,29.7,32.423
183.302,1.121,85.11,2.041,31.9,33.724
17.116,55.204,50.42,3.948,75.0,29.799
58.736,39.746,25.39,3.162,59.7,37.162
146.326,52.503,1.7,5.793,65.0,40.193
138.339,27.622,46.82,4.382,55.7,37.999
87.128,6.87,38.04,2.58,25.5,30.419
152.811,58.274,64.64,6.218,84.9,96.104
134.414,56.81,49.51,6.456,81.0,47.123
40.571,11.38,14.84,2.617,23.6,24.79
159.367,51.678,9.98,4.506,64.3,39.588
180.542,1.808,75.9,2.072,30.0,32.9
127.571,5.287,51.04,2.92,28.5,31.837
113.073,6.106,80.4,2.442,37.0,34.762
135.573,15.294,91.9,2.889,51.8,38.593
102.92,34.741,28.6,4.009,57.2,37.242
129.248,4.496,86.01,2.028,35.9,34.583
9.447,34.49,60.29,3.605,65.4,22.41
72.84,47.272,46.37,4.912,76.2,42.999
190.575,19.3,25.86,3.432,37.8,32.807
100.617,23.483,76.46,3.445,57.6,39.345
199.297,37.123,89.35,5.329,81.4,94.165
27.836,44.905,14.48,3.916,64.0,28.169
75.094,21.435,48.74,2.264,44.1,34.608
86.284,59.801,72.21,5.957,86.6,49.791
61.433,19.916,78.86,2.132,51.1,37.437
184.268,27.24,12.43,3.793,43.5,33.521
135.21,42.16,42.12,5.146,72.3,41.602
154.904,41.247,84.42,5.25,84.3,94.37
44.574,35.609,12.75,4.522,54.7,33.839
143.935,30.857,62.55,3.459,61.7,90.148
98.623,13.338,47.57,1.95,34.0,32.3
85.282,6.022,52.17,1.748,26.7,30.921
124.904,32.373,17.42,4.479,52.4,35.954
138.017,18.606,38.09,3.846,41.7,34.42
145.801,6.768,94.55,3.438,44.5,37.497
64.568,33.166,24.92,4.381,55.3,36.86
178.341,47.038,46.99,4.731,75.9,42.827
185.316,58.445,55.1,6.457,82.7,48.113
76.391,45.066,18.8,5.26,68.8,39.82
191.387,27.889,20.73,4.353,48.1,35.161
179.811,28.897,2.64,4.721,44.7,33.781
66.59,20.526,26.47,2.232,36.3,31.917
6.408,55.266,38.03,3.737,70.8,23.522
134.705,51.35,49.85,4.212,75.5,43.595
117.339,49.608,42.71,5.412,76.3,43.648
99.517,11.476,34.85,3.174,31.1,31.737
55.73,0.595,49.18,1.278,18.6,28.864
155.007,35.655,89.25,4.357,77.3,93.306
72.773,18.973,73.97,2.609,49.8,37.175
64.459,0.774,88.73,1.707,31.7,33.698
47.439,55.525,82.27,4.033,84.8,46.806
124.774,26.084,78.06,3.669,61.6,40.348
5.393,50.682,73.34,4.561,83.4,26.758
24.937,45.162,75.42,4.044,82.7,33.789
175.067,21.582,72.0,3.105,53.3,38.068
82.196,1.758,45.16,2.531,21.8,29.981
22.626,8.929,29.44,0.996,21.2,16.267
116.96,19.439,29.18,2.549,36.7,32.293
134.287,47.689,67.15,4.875,82.3,93.854
14.847,14.553,81.03,1.878,45.2,20.718
50.307,40.95,87.59,4.303,82.5,45.457
114.371,48.465,67.75,4.811,82.4,45.521
89.374,8.994,86.01,2.888,43.0,36.5
159.428,55.876,81.53,6.301,90.2,96.991
83.913,57.348,43.22,5.824,77.5,45.903
166.9,1.627,59.29,2.423,25.7,31.394
176.052,9.711,78.28,2.313,40.1,35.221
95.113,21.281,35.82,2.29,40.1,33.179
172.201,38.463,93.95,4.313,81.7,94.016
99.318,33.629,10.91,4.633,52.2,35.684
177.402,2.503,66.68,2.487,29.0,32.473
1.248,23.577,25.46,3.106,41.6,11.956
52.896,59.979,26.25,5.733,72.2,44.545
62.621,31.427,7.08,4.521,48.3,34.643
21.796,16.03,11.66,1.855,25.9,16.459
182.366,37.597,25.14,3.759,58.7,37.258
42.328,7.642,35.45,2.662,25.8,27.02
158.906,48.384,25.66,4.063,67.9,40.101
184.012,43.893,52.09,5.328,77.7,43.283
19.942,7.673,85.94,2.02,39.4,22.07
76.124,31.811,66.39,2.856,62.4,39.538
145.691,41.27,48.95,4.421,71.6,41.401
172.978,20.956,79.39,2.931,54.4,38.558
57.376,14.638,56.24,1.931,38.0,33.532
43.741,22.089,44.88,3.311,46.3,32.659
37.3,59.372,80.83,4.366,85.2,43.412
101.076,37.023,15.13,3.754,55.1,36.02
81.535,56.823,88.6,4.996,89.1,49.92
41.936,13.784,95.23,3.112,51.7,35.295
75.938,20.233,44.74,1.992,40.9,33.612
194.542,23.551,85.27,3.542,60.6,40.43
99.178,52.922,31.33,5.415,72.9,43.158
148.497,21.9,26.21,3.85,41.8,33.872
180.525,32.045,26.41,3.637,52.6,35.999
105.746,2.832,43.93,1.23,19.4,28.75
190.725,5.339,36.11,2.21,22.3,29.475
158.732,43.201,14.64,4.312,63.2,37.957
137.573,7.552,22.7,3.219,23.2,29.547
128.443,23.752,88.19,3.573,61.8,40.829
8.275,21.451,78.29,2.302,53.1,19.543
81.216,53.324,43.22,5.09,75.7,44.223
183.105,15.712,96.65,4.04,56.6,40.399
99.292,2.715,5.47,2.9,11.9,26.215
59.232,41.414,8.08,3.267,56.6,35.749
2.339,5.509,27.72,2.007,19.5,7.411
47.167,50.076,80.78,4.57,85.7,45.828
97.157,39.082,54.96,4.674,71.6,41.822
52.005,37.767,56.84,3.415,67.6,40.429
34.499,11.984,98.94,2.286,48.7,31.167
79.1,34.161,30.67,3.9,56.9,37.224
177.246,7.556,95.44,3.012,44.6,37.336
141.223,5.062,33.41,1.925,20.5,28.82
105.433,34.587,80.08,3.338,70.8,42.177
150.556,2.827,0.63,2.592,9.8,25.39
183.409,19.298,42.56,3.957,44.1,35.185
155.613,48.58,35.29,5.068,73.3,42.241
127.902,57.855,64.73,4.783,81.4,95.107
71.934,45.438,71.13,3.797,80.8,44.153
37.461,31.077,86.85,4.206,71.1,37.496
114.037,14.903,72.03,3.311,46.4,36.753
22.626,24.629,14.94,3.696,41.1,21.054
20.543,3.684,33.34,0.647,15.7,14.218
