rainfall_mm_hr,slope_degrees,soil_moisture_proxy_pct,historical_landslide_frequency,ground_movement_proxy_pct,risk_score
44.5,10.9,37.9,1.8,28.0,45
50.0,11.4,35.3,6.1,38.5,69
25.9,44.9,21.3,3.5,65.0,66
48.5,21.2,33.5,0.8,35.6,58
16.5,43.1,20.7,6.5,70.3,47
22.7,44.0,18.7,3.2,62.5,63
41.2,26.2,29.4,0.4,38.9,65
18.1,36.6,26.6,1.6,52.6,42
46.4,14.2,35.7,7.8,46.0,62
35.5,24.3,20.5,1.8,37.6,46
23.1,27.4,22.4,5.7,51.4,56
35.3,26.5,27.7,3.7,47.0,52
19.2,40.8,27.9,6.9,71.0,57
38.6,37.6,33.6,2.1,57.1,57
14.1,45.0,17.8,3.9,65.1,46
22.3,36.7,21.0,3.0,54.6,52
43.5,23.4,36.3,6.8,53.9,71
2.2,38.4,20.2,3.1,56.5,31
24.8,30.7,18.0,7.0,57.0,59
5.0,15.0,15.2,7.0,38.7,22
3.7,31.8,15.9,3.2,48.1,25
42.6,23.3,41.8,2.5,44.7,68
43.6,32.1,21.0,7.4,60.5,69
37.3,32.2,24.1,7.0,60.5,71
8.3,21.4,8.3,0.4,27.3,26
18.7,29.8,17.1,6.3,54.0,43
8.8,33.9,17.3,4.0,52.9,34
11.6,33.3,19.9,7.2,61.0,50
45.1,25.5,31.8,2.8,44.9,64
31.9,39.6,23.4,1.6,55.0,63
42.7,22.6,25.5,2.4,38.8,58
1.1,10.3,17.1,6.9,33.8,13
45.5,41.6,41.3,6.2,74.1,79
30.4,31.7,26.6,5.4,56.7,54
31.4,20.8,34.8,3.5,42.3,53
36.6,36.2,21.4,1.4,50.1,55
39.3,27.6,34.5,2.2,46.5,56
12.8,38.2,23.3,6.0,64.4,50
40.2,36.4,25.6,1.8,52.6,68
48.4,37.7,37.6,0.1,53.4,66
22.7,30.5,28.0,6.6,58.8,55
5.4,40.9,6.0,4.5,58.5,37
32.4,34.5,29.3,5.2,60.1,56
7.0,27.2,20.2,0.8,38.3,25
19.4,34.4,25.8,4.3,56.7,45
44.3,31.5,39.5,7.5,65.6,74
1.6,43.3,11.4,6.8,68.5,36
49.0,32.6,38.5,0.5,49.0,69
9.5,25.9,16.6,5.3,47.0,27
2.5,37.5,18.1,1.6,51.1,31
29.3,37.1,27.5,6.3,65.2,54
13.9,28.9,32.4,6.4,57.8,40
33.1,37.6,15.4,1.9,51.1,59
0.8,24.7,5.7,0.9,31.4,13
23.8,13.8,28.0,4.0,33.7,32
36.4,20.6,37.4,5.1,46.9,49
3.0,34.0,13.1,3.9,51.5,39
3.7,12.3,10.4,2.2,22.3,18
19.0,27.7,20.6,3.4,45.5,37
42.6,35.2,37.9,1.7,54.7,73
44.4,24.0,36.1,5.8,52.0,68
21.3,15.3,23.6,7.4,42.6,35
4.6,36.1,8.7,3.0,50.2,29
27.8,21.5,27.8,1.0,34.7,46
43.7,42.1,38.1,0.4,59.2,72
30.0,17.4,25.7,5.3,40.3,46
42.4,14.0,30.9,2.2,30.3,51
40.4,38.6,42.2,4.9,67.8,65
30.4,11.0,31.6,2.2,27.2,42
46.1,15.0,27.9,5.3,38.3,53
7.1,36.1,12.4,1.7,48.1,39
22.7,21.4,16.3,7.5,47.4,39
44.2,11.7,31.5,0.7,24.2,56
33.1,19.6,27.2,6.0,44.9,47
17.3,30.8,17.8,4.2,50.1,44
2.3,10.3,14.1,2.4,21.7,13
38.4,14.2,31.6,4.0,35.3,57
8.8,27.5,18.1,6.7,52.7,40
3.6,10.7,14.2,7.4,34.6,24
28.8,24.6,29.8,0.9,38.5,39
48.3,26.1,36.0,5.5,53.6,73
4.4,30.6,16.8,4.2,49.5,37
43.5,37.3,32.8,0.6,52.8,62
26.5,22.3,24.4,7.7,51.3,47
11.8,31.1,9.8,6.1,52.7,34
8.9,36.4,21.0,6.1,62.0,49
34.1,44.5,35.7,2.6,66.7,69
7.5,20.6,9.9,2.2,31.4,17
17.6,11.3,14.7,2.9,24.2,29
3.8,31.5,24.5,4.1,52.6,40
29.0,11.4,35.7,7.3,41.6,45
16.1,12.2,15.8,0.8,20.3,27
49.1,11.4,31.4,5.7,36.3,66
26.2,42.1,24.9,3.1,62.0,60
33.9,21.7,23.9,2.6,37.8,54
14.2,41.7,24.7,7.0,71.2,55
4.1,20.9,22.6,5.2,43.0,32
6.4,29.6,13.9,5.1,49.8,36
40.7,35.9,38.1,5.5,65.1,79
4.7,10.6,17.9,2.5,23.4,16
17.1,45.0,20.8,1.2,59.2,50
42.2,39.2,30.0,7.1,70.3,68
33.1,30.9,34.9,1.2,47.8,53
41.6,15.8,39.6,3.5,38.2,61
18.2,31.4,30.4,6.0,59.0,55
11.7,37.5,20.7,7.2,65.9,46
18.4,26.2,33.8,2.3,45.0,46
25.1,17.0,19.2,4.8,36.6,41
2.6,42.7,12.5,5.7,65.4,48
42.6,19.5,32.7,7.2,49.5,59
41.6,38.6,31.4,7.1,70.1,66
20.7,23.5,19.6,0.7,33.7,36
1.4,32.7,24.1,6.3,59.3,32
1.9,39.1,19.6,6.1,64.6,46
22.4,19.0,11.1,6.7,41.2,49
21.2,14.3,23.4,1.9,27.7,40
3.1,28.8,19.4,5.1,50.6,31
35.9,22.3,20.3,4.6,42.4,50
33.2,12.4,28.3,4.2,32.8,54
39.3,40.6,25.0,0.3,53.4,68
49.1,37.6,25.8,2.8,56.5,68
38.6,11.6,31.8,4.4,33.4,47
41.5,26.7,40.5,1.5,45.6,57
3.2,20.3,18.0,0.4,29.0,18
44.3,23.9,28.2,6.5,51.3,72
12.7,22.5,18.6,6.2,46.1,39
13.7,24.0,22.8,3.5,42.3,40
17.0,22.9,18.9,6.4,47.1,41
40.1,31.1,29.2,6.6,59.8,68
16.1,20.7,16.6,4.8,40.0,41
8.3,35.4,15.6,7.3,62.3,47
13.7,12.6,31.7,5.1,36.3,35
25.7,11.1,24.1,6.8,36.6,47
1.7,22.8,11.4,3.1,36.5,16
30.3,23.0,35.0,6.1,51.3,50
26.5,18.7,25.6,0.9,30.7,37
25.0,19.2,23.7,2.1,33.7,46
10.7,45.0,22.1,1.6,60.6,41
42.6,25.6,36.7,0.7,41.2,61
33.4,20.2,31.8,2.4,38.0,47
35.6,37.8,37.0,4.1,63.4,61
49.3,27.3,36.2,2.9,48.4,72
23.4,40.9,25.9,0.5,54.5,56
50.0,36.9,39.1,6.6,69.2,75
6.3,26.3,8.2,4.1,41.9,25
43.9,16.4,38.7,7.7,49.1,68
25.1,28.1,33.8,2.4,47.4,46
16.1,42.9,21.5,7.2,72.1,49
12.5,14.4,21.4,2.4,28.4,21
25.1,15.4,25.4,5.3,38.0,44
42.1,11.0,37.1,0.4,24.4,49
32.6,32.4,30.6,4.0,55.2,60
32.1,38.3,21.7,3.2,57.1,66
3.6,26.9,8.0,1.6,36.3,20
15.6,40.1,26.2,7.8,71.9,50
38.0,18.5,25.6,1.0,30.7,55
12.4,23.4,10.6,4.9,41.4,33
48.1,42.7,44.5,5.8,75.3,81
38.2,27.5,30.6,2.5,46.0,50
4.5,18.4,13.2,4.7,36.2,17
2.5,32.9,19.1,3.8,51.8,25
42.4,35.5,36.1,6.1,65.5,75
2.3,22.7,8.8,2.3,33.6,26
25.2,44.6,25.5,5.4,70.7,57
6.4,44.5,8.9,4.5,63.4,45
37.7,27.5,26.1,0.4,39.4,50
35.7,15.2,33.8,7.1,44.8,50
16.4,44.7,18.0,5.9,69.8,55
29.7,27.1,26.8,4.5,49.4,60
40.8,44.3,31.9,4.7,70.5,66
29.8,44.0,25.3,4.6,68.0,63
36.1,32.0,26.5,5.0,56.0,66
7.4,43.2,13.2,0.9,54.2,30
22.1,17.1,21.0,4.0,35.3,45
43.6,14.8,30.7,1.7,29.9,55
49.9,43.5,33.9,3.7,67.8,82
27.3,33.8,32.6,6.4,63.3,59
30.5,29.5,19.5,1.8,43.1,51
38.6,27.1,35.9,3.8,50.4,61
14.4,41.4,21.3,3.2,60.4,50
47.7,20.1,36.4,5.7,47.5,69
46.2,17.5,39.3,6.6,47.7,65
46.7,31.5,32.5,4.7,56.5,70
2.5,18.1,16.6,0.8,27.1,20
35.9,10.2,27.2,4.4,30.5,43
20.3,26.7,33.2,1.6,43.6,44
16.1,13.1,27.6,4.6,34.3,26
45.7,16.2,34.0,7.4,46.7,67
39.4,40.5,29.7,2.3,59.7,60
0.5,44.4,9.5,2.3,57.9,43
24.7,26.4,34.9,1.5,43.6,41
16.5,35.2,25.8,0.1,47.1,44
39.5,16.1,35.2,6.8,45.4,62
41.3,33.4,26.9,1.5,48.9,59
23.9,23.4,23.9,3.6,42.2,44
47.7,10.4,34.7,5.2,35.0,58
3.1,24.2,6.9,4.0,39.0,26
34.5,22.9,36.2,1.8,40.8,48
23.9,23.1,29.5,5.6,48.5,54
37.9,36.7,38.6,5.4,65.9,63
26.3,42.1,23.7,0.9,56.1,63
10.1,39.9,14.1,3.5,57.3,40
35.8,25.6,34.2,0.4,39.7,49
25.7,26.2,18.7,6.5,51.0,42
19.8,30.2,29.7,0.4,43.5,45
35.0,41.3,24.1,7.9,72.9,77
1.6,36.8,16.1,7.8,65.2,44
18.7,42.1,26.5,3.0,62.2,46
34.1,32.9,31.4,2.8,53.0,56
49.6,44.3,29.4,6.7,74.8,75
48.9,24.8,37.5,3.0,46.3,66
12.4,42.8,13.9,5.8,66.2,43
1.6,42.8,17.6,7.1,70.6,41
10.3,30.9,6.5,5.6,50.3,30
12.2,28.9,11.6,6.0,50.6,32
7.0,42.1,20.0,4.6,64.3,45
11.8,28.2,29.9,3.3,48.6,38
3.0,41.9,25.6,5.0,66.7,47
27.8,32.5,17.5,3.0,48.9,59
15.9,23.2,14.9,6.0,45.2,46
12.0,15.1,19.3,3.7,31.8,21
28.1,14.7,33.2,1.9,31.0,39
16.5,23.0,14.2,4.3,40.6,35
2.6,11.4,14.0,0.6,18.4,11
24.0,43.5,27.1,0.1,56.7,52
48.1,26.8,35.8,1.9,45.3,64
19.8,19.9,16.3,3.7,36.3,40
15.4,26.3,23.0,6.4,52.1,49
38.1,21.0,24.2,0.4,31.6,49
37.1,30.4,23.8,5.8,55.4,63
7.6,39.2,12.8,4.0,57.4,42
12.9,32.5,29.4,3.9,54.7,40
36.6,29.1,23.2,1.5,43.0,48
26.2,38.6,24.5,0.4,51.2,44
20.6,34.8,24.0,0.1,46.1,53
22.8,42.7,19.1,7.3,71.4,67
0.8,10.6,13.0,5.8,30.2,19
0.9,38.2,20.2,7.3,66.8,34
45.9,31.7,31.0,2.0,49.5,70
13.4,24.2,16.3,4.5,43.0,35
15.0,44.7,19.3,5.2,68.5,45
4.7,12.0,14.3,0.1,17.9,12
4.1,21.6,21.7,7.8,50.0,27
44.7,41.5,35.9,5.5,70.6,84
13.6,19.8,27.6,4.3,41.0,28
9.0,17.3,16.1,1.2,27.1,27
46.4,29.8,32.1,6.8,59.7,74
19.2,34.1,28.9,0.6,48.1,48
2.7,21.9,17.8,6.2,45.2,32
48.4,37.4,34.3,3.6,60.8,74
17.8,33.8,26.6,5.3,58.8,43
38.6,12.6,24.6,2.1,26.6,51
35.6,21.1,34.2,0.9,36.0,43
47.1,13.6,36.9,0.7,27.9,60
22.4,10.9,23.0,2.8,26.0,27
29.8,10.4,35.2,3.3,30.4,36
36.2,18.5,36.5,4.2,42.0,58
8.5,15.1,11.0,1.3,23.3,21
21.1,18.8,17.2,2.0,31.0,42
29.7,20.7,17.4,7.6,47.2,53
42.1,25.4,35.0,3.4,47.2,58
15.0,26.8,23.9,1.4,40.4,40
48.4,27.2,34.6,4.6,52.1,69
16.3,22.8,21.1,7.5,50.4,40
29.6,29.3,29.5,7.6,60.4,65
47.1,39.1,34.1,0.6,55.2,76
33.6,18.8,20.9,1.2,30.2,50
39.5,26.8,31.2,3.2,47.1,68
46.2,11.3,38.2,7.7,43.3,56
5.5,15.8,14.2,4.9,34.1,28
48.3,13.7,36.3,0.8,28.1,55
25.5,30.1,26.0,3.6,50.2,54
23.2,15.3,28.6,8.0,45.6,51
5.2,14.1,20.2,7.5,40.5,23
17.4,28.2,22.4,2.8,45.1,36
21.9,20.5,23.6,6.5,46.1,39
1.1,38.0,6.7,7.4,62.7,36
25.8,24.9,23.5,3.7,44.0,51
31.5,23.8,25.0,5.9,48.7,51
22.5,17.5,16.2,2.2,29.8,30
28.9,22.8,30.9,1.6,38.6,41
13.1,32.4,24.6,4.8,55.4,47
29.4,31.6,28.7,6.5,60.0,59
45.9,21.0,37.3,1.9,39.3,56
9.2,24.6,20.2,1.1,36.1,33
21.2,42.2,23.1,7.4,72.3,56
27.7,21.0,21.1,3.6,38.7,38
43.3,16.8,38.9,3.1,38.1,65
32.7,34.9,26.6,3.6,55.8,56
4.1,20.2,11.8,2.2,31.5,23
8.4,36.8,19.5,4.4,57.7,36
28.6,44.7,23.4,4.3,67.4,56
38.0,24.9,26.0,5.9,50.2,59
14.9,22.2,26.3,6.5,48.8,46
43.3,17.3,31.3,5.9,43.4,63
43.1,31.6,33.3,6.3,60.9,68
40.3,30.9,32.8,1.3,47.4,62
14.5,44.5,21.0,5.4,69.2,47
6.8,12.1,18.7,2.2,24.6,16
35.1,21.3,19.5,2.0,34.5,53
24.5,24.5,22.5,3.6,43.0,39
20.1,40.7,28.2,3.6,62.7,60
16.4,35.6,17.1,5.8,59.2,54
31.7,37.8,34.7,3.2,60.4,67
41.2,19.9,29.5,4.4,42.0,54
28.3,33.9,23.8,0.4,45.8,45
31.3,42.5,26.0,1.3,58.3,66
0.0,34.1,15.9,1.1,45.4,28
7.9,32.9,20.0,2.0,47.6,38
33.2,31.9,24.7,5.8,57.4,59
21.5,17.5,12.1,0.6,24.6,31
26.0,22.0,18.0,1.0,32.3,45
34.7,13.1,25.2,6.4,38.1,45
15.7,37.1,21.1,6.0,62.6,45
32.1,29.7,24.8,4.9,52.7,54
22.0,15.3,27.9,3.3,33.6,44
43.0,36.3,21.8,4.7,58.6,73
17.6,18.7,23.8,5.2,40.9,37
27.7,37.3,28.5,5.5,63.7,61
10.3,23.7,15.5,5.2,44.0,33
24.7,30.8,18.9,4.2,50.4,41
49.3,40.1,36.9,4.5,66.9,82
27.3,44.6,20.6,0.6,57.2,50
0.7,43.2,14.9,3.2,60.5,37
31.4,34.6,26.3,0.7,48.1,50
13.9,17.1,17.0,6.5,40.4,36
19.5,33.8,28.1,0.5,47.2,49
36.5,13.0,29.0,3.5,31.9,54
30.6,33.0,22.9,1.4,47.0,45
35.4,43.4,27.8,4.2,67.1,68
8.3,19.4,15.3,7.1,43.9,24
16.8,19.2,20.1,7.8,46.9,34
24.8,40.1,19.0,1.3,53.5,49
12.8,35.3,14.4,1.8,48.0,47
0.1,11.6,12.2,2.9,23.8,10
8.9,38.1,17.9,5.7,62.0,48
11.2,21.2,20.0,6.6,46.1,38
6.0,17.8,12.8,4.1,33.9,17
47.7,19.9,28.3,6.8,47.6,68
4.3,20.2,12.9,6.3,42.1,26
23.2,37.0,24.9,1.6,52.6,49
7.5,29.0,16.7,5.1,50.0,27
47.5,39.7,29.6,5.8,67.5,73
10.3,43.6,23.6,7.8,75.0,48
35.6,41.4,28.8,4.2,65.1,70
22.9,27.7,28.0,5.1,51.9,53
3.7,43.7,15.0,1.9,57.8,37
42.5,39.1,37.0,2.6,61.0,77
13.6,37.3,9.7,4.7,56.1,40
5.3,14.2,12.6,2.9,26.8,18
22.6,13.2,27.3,6.5,39.1,41
41.3,39.3,28.9,2.6,58.8,62
35.6,11.7,34.5,2.4,29.4,43
1.6,36.2,12.0,2.0,48.8,36
5.1,12.2,14.9,6.2,33.5,22
6.5,32.1,19.1,5.2,54.4,37
45.9,16.9,34.2,5.2,42.0,57
4.6,14.3,24.0,7.5,41.8,20
8.4,23.8,22.1,0.2,33.6,32
8.6,19.8,9.2,7.1,42.5,24
30.7,27.5,30.6,7.1,57.5,65
3.0,17.0,7.0,7.1,38.7,32
12.5,10.7,26.4,3.1,27.6,29
24.0,29.8,26.1,2.6,47.4,48
9.0,41.4,11.3,6.2,64.9,38
40.4,30.4,29.3,1.9,47.3,58
5.0,38.6,14.8,7.3,65.6,35
38.2,44.4,37.6,3.1,68.4,69
8.8,34.4,22.3,7.3,63.2,36
35.2,15.0,27.9,7.6,44.0,60
27.1,12.0,15.1,4.8,29.9,31
26.3,17.1,23.3,1.0,28.5,35
45.9,10.8,36.5,4.7,34.7,53
38.7,43.6,40.0,3.0,67.9,76
29.3,44.2,21.9,5.9,70.4,70
39.6,16.1,39.4,7.7,49.0,63
11.2,20.7,15.5,5.5,41.4,29
8.9,30.0,12.8,6.8,54.2,31
9.1,31.4,18.6,5.1,53.2,33
46.8,18.3,32.3,7.9,49.8,63
31.8,33.5,38.1,5.8,63.2,65
22.3,12.4,16.9,2.1,24.1,27
36.0,24.7,22.3,1.3,37.4,56
24.7,13.5,23.2,3.8,31.5,37
8.1,20.3,15.2,2.5,33.4,21
3.7,35.6,8.7,4.4,53.2,28
16.9,34.7,32.6,3.5,57.1,45
30.4,21.6,20.4,7.8,49.6,58
34.9,19.3,34.9,2.3,37.7,50
4.8,27.2,14.5,0.4,35.6,17
21.4,31.0,22.0,1.6,45.0,36
10.3,26.6,25.8,0.9,39.5,36
23.5,32.5,26.4,3.1,51.8,53
44.3,19.2,30.7,3.7,39.8,58
41.9,34.4,28.7,0.8,48.8,66
40.4,18.0,33.4,0.5,31.3,56
40.9,40.3,30.9,3.8,63.5,70
23.8,35.0,23.1,4.0,55.8,60
40.0,14.2,35.2,6.1,41.6,53
47.5,16.7,26.4,0.3,27.2,49
49.4,32.0,40.8,6.7,64.5,77
16.0,13.0,27.5,4.5,33.9,35
42.8,10.4,38.0,5.6,37.0,64
39.1,29.8,21.0,4.7,51.2,56
46.2,20.0,29.9,4.3,41.9,65
43.9,30.0,31.6,3.8,52.3,63
13.8,34.3,15.8,0.3,43.6,39
34.5,19.4,22.2,3.0,35.7,51
40.9,27.2,26.1,5.6,52.1,58
48.6,36.0,28.8,6.2,64.1,78
13.5,16.6,20.0,1.7,28.7,33
37.0,38.7,38.1,4.1,64.7,65
3.3,37.3,16.5,4.2,56.9,28
8.7,12.0,18.7,0.3,19.7,12
45.9,38.8,33.9,4.0,63.3,69
34.1,25.6,24.9,7.7,55.2,66
29.3,41.3,20.1,6.0,66.9,56
14.3,30.0,13.9,7.7,56.8,43
32.4,24.3,27.4,0.2,35.7,40
23.7,38.0,14.7,1.8,51.1,50
35.6,41.3,29.4,6.8,71.7,76
12.6,38.9,20.7,3.2,57.4,39
0.4,39.4,26.3,4.5,62.9,38
14.9,44.6,9.0,5.1,65.0,50
13.1,20.5,27.0,1.2,33.9,30
45.0,31.0,41.5,5.3,60.1,68
36.1,19.1,37.9,3.3,40.8,57
36.8,38.6,37.1,2.7,60.8,65
34.3,42.9,30.3,2.9,64.0,67
42.3,16.3,41.8,0.8,32.7,50
37.0,41.9,33.8,7.6,75.7,76
32.7,40.5,20.6,3.4,59.7,64
18.6,14.1,22.4,0.4,23.4,23
23.6,33.8,14.9,4.2,52.5,55
2.7,17.0,14.9,3.3,31.6,27
7.2,12.8,17.6,2.7,26.3,18
15.7,17.3,13.5,6.2,38.8,32
24.5,31.5,22.8,5.1,54.6,56
21.5,28.7,16.4,5.8,51.3,39
44.6,10.6,37.3,0.0,23.0,49
11.3,13.6,21.3,4.0,31.5,28
8.4,20.2,19.1,5.8,42.7,39
16.9,22.0,32.5,7.2,52.2,47
37.5,38.4,30.5,0.2,52.3,61
36.4,30.6,27.4,1.4,45.7,60
35.6,32.4,31.8,6.2,61.0,57
29.7,39.3,15.4,0.4,49.3,49
20.8,26.6,21.5,1.2,39.0,32
15.1,19.4,24.4,4.8,40.9,32
20.9,31.6,28.4,2.3,49.4,41
24.9,39.1,29.5,7.8,71.8,65
35.2,27.4,20.5,1.7,40.8,60
16.5,41.7,15.9,6.7,67.9,60
7.5,35.3,11.0,0.8,44.5,33
32.2,19.2,33.1,0.4,32.3,43
43.7,33.7,36.1,3.4,56.8,64
4.7,39.8,13.3,5.3,61.5,37
16.4,19.4,31.8,5.9,45.8,43
40.7,43.7,25.9,2.2,61.8,74
34.5,41.0,27.5,1.3,57.1,58
34.8,15.6,28.2,3.3,34.0,55
40.1,23.3,29.8,2.9,42.1,49
43.1,41.2,40.8,3.9,67.8,82
5.6,19.2,8.9,2.5,30.3,30
38.4,44.2,32.4,5.4,72.3,75
26.0,25.1,29.1,5.8,51.1,58
17.3,39.4,22.1,4.5,61.7,43
0.6,26.4,19.7,4.0,45.2,24
3.7,44.0,11.6,0.4,53.4,34
27.5,12.8,27.9,3.6,31.6,47
4.4,44.3,12.9,6.0,68.1,35
5.1,10.0,15.0,0.7,17.4,16
44.5,26.0,36.1,2.7,46.5,57
40.8,36.9,34.3,4.8,63.3,73
35.8,17.8,27.2,2.7,34.7,50
27.4,41.4,18.9,3.9,61.4,63
5.3,42.6,13.3,3.1,59.1,45
41.2,36.5,25.4,0.4,49.2,58
38.6,43.5,31.9,1.1,60.7,75
0.2,25.1,17.3,4.7,44.8,34
39.1,16.1,39.0,6.5,45.8,53
19.4,27.6,28.2,3.1,46.9,42
13.7,25.8,31.8,1.1,41.0,41
30.1,39.5,32.4,4.4,64.6,64
35.6,17.0,37.0,5.0,42.5,54
34.3,34.9,30.0,7.8,67.3,63
25.2,14.0,25.1,2.8,30.1,45
29.1,33.6,35.2,7.2,65.9,63
43.9,13.7,25.8,3.0,30.5,46
33.5,15.6,27.2,2.3,31.2,46
7.3,17.1,14.0,4.3,34.0,28
40.7,35.9,30.6,6.9,66.3,75
11.9,20.1,26.3,5.3,43.5,39
19.4,20.9,34.3,4.4,44.5,34
37.2,40.1,30.4,3.5,62.4,66
45.6,36.4,38.5,4.4,63.0,72
38.8,16.2,34.6,5.5,42.1,53
48.1,11.4,33.4,2.2,28.2,56
6.5,21.6,14.3,5.7,42.5,26
2.0,37.1,21.3,5.0,60.1,38
24.5,37.4,23.5,2.5,54.9,51
47.8,15.6,38.6,4.3,39.7,66
4.6,21.6,7.8,2.9,33.6,21
47.5,29.6,36.0,6.0,58.7,64
5.7,32.5,10.4,7.3,57.5,36
47.9,42.1,35.1,7.6,76.3,87
12.8,28.1,16.2,6.2,51.6,48
40.1,41.4,24.8,1.5,57.2,75
4.1,37.1,15.3,4.3,56.6,30
10.5,34.0,16.2,6.7,59.4,41
26.9,37.1,34.1,5.2,64.5,54
37.3,21.6,24.7,0.7,33.2,43
